"Txhash","Blockno","UnixTimestamp","DateTime","From","To","ContractAddress","Value_IN(ETH)","Value_OUT(ETH)","CurrentValue @ $1143.61/Eth","TxnFee(ETH)","TxnFee(USD)","Historical $Price/Eth","Status","ErrCode","Method"
"0x994d6b5b7f953fec5ec5c207530fbf2284c26480ab65dfac73d0d46dbdd0785e","15071471","1656876489","2022-07-03 19:28:09","0x7b92bbf4c3e43a46bb9431bdf7a23930e2a9893d","0x1e4afe0c027d4f14fdba4254efc1a3ac2f7d49b5","","0","0","0","0.00196823961418536","2.25379181741137","1072.95","","","Mint Private",""
"0x343c40fa55d01a11190ca4546cdb759b680d1f31827a9fb6844ab0aa35c94002","15071472","1656876507","2022-07-03 19:28:27","0x3a03cc4f4953d69730df1489bf54a1a603f2691c","0x1e4afe0c027d4f14fdba4254efc1a3ac2f7d49b5","","0","0","0","0.001927813275122304","2.20750042507705","1072.95","","","Mint Public",""
"0x37cb29d8cb85700be6bf4a3d819aa28b10c908114cacc39f40fec1049b85a9ce","15071474","1656876568","2022-07-03 19:29:28","0x22b362dd1657c7f62be47aa9ba59187650ccc699","0x1e4afe0c027d4f14fdba4254efc1a3ac2f7d49b5","","0","0","0","0.002870448452140752","3.28689311357733","1072.95","","","Mint Public",""
"0x92ea2a5fe0d576c73db849167eff5c58aa822fe2521f99289c35d67f5fb17627","15071476","1656876654","2022-07-03 19:30:54","0x1a159c8b655718384fdf652941b90c1259887581","0x1e4afe0c027d4f14fdba4254efc1a3ac2f7d49b5","","0","0","0","0.002423898716741328","2.77555794256616","1072.95","","","Mint Public",""
"0x80ce9b447361c4249639d207cc3985333361aec77aa8f3a62d04faf43f3fb625","15071487","1656876720","2022-07-03 19:32:00","0x1d13ca4d38e81f6354194b05cfccdbdc0a8fff13","0x1e4afe0c027d4f14fdba4254efc1a3ac2f7d49b5","","0","0","0","0.002040570307793952","2.3366162480487","1072.95","","","Mint Public",""
"0x6fdf1023aca1a65dc42218a16ccee4e4d6b0c6543ff20d4305f2a9f5ce317cb9","15071494","1656876775","2022-07-03 19:32:55","0x75bd7c20a5a69ee37741269f461b79a64118b25b","0x1e4afe0c027d4f14fdba4254efc1a3ac2f7d49b5","","0","0","0","0.00189126751775712","2.16565260923332","1072.95","","","Mint Public",""
"0x8788efa10fa9a2a1e957295f7b02d601e56a821fab4f0bf2db2d6c370a673785","15071496","1656876817","2022-07-03 19:33:37","0x7b92bbf4c3e43a46bb9431bdf7a23930e2a9893d","0x1e4afe0c027d4f14fdba4254efc1a3ac2f7d49b5","","0","0","0","0.001484330042398416","1.69967664494958","1072.95","","","Mint Private",""
"0x9bba453d4efc51f1d5f18ce094c857861834f99a4491c95a09bd9b2bbd5cc685","15071497","1656876820","2022-07-03 19:33:40","0xcdaef60c93ca6d1f839a05510e593161d02a5824","0x1e4afe0c027d4f14fdba4254efc1a3ac2f7d49b5","","0","0","0","0.00206658123004896","2.36640083490446","1072.95","","","Mint Public",""
"0x911c0185a32c99bb6cfe1bc8d6652e5a27feceacde9dd615619e08ebf184376a","15071497","1656876820","2022-07-03 19:33:40","0x5d7228079f5fa2dbecae44adfe7a614f79a447d3","0x1e4afe0c027d4f14fdba4254efc1a3ac2f7d49b5","","0","0","0","0.00200708523004896","2.29827315522446","1072.95","","","Mint Public",""
"0x4bbaa67407aa9ea671560c75845ff6e7ad46da21228ee5ff88b870ec2fe23d26","15071497","1656876820","2022-07-03 19:33:40","0x75d778d301a82dbc45112719dd7331a397af2faf","0x1e4afe0c027d4f14fdba4254efc1a3ac2f7d49b5","","0","0","0","0.00194758923004896","2.23014547554446","1072.95","","","Mint Public",""
"0x61b1e27d0ffebd1e50445c7817937ca098f51315bd5be9b08b242e611a36f0f7","15071498","1656876838","2022-07-03 19:33:58","0xea1e41414acd44ae0fb16f5bd15955479a0c7d55","0x1e4afe0c027d4f14fdba4254efc1a3ac2f7d49b5","","0.005","0","5.7254","0.002213790915108318","2.53496770107223","1072.95","","","Mint Public",""
